movie_id,title,Genres
1,Toy Story (1995),Animation|Children's|Comedy
2,GoldenEye (1995),Adventure|Children's|Fantasy
3,Four Rooms (1995),Comedy|Romance
4,Get Shorty (1995),Comedy|Drama
5,Copycat (1995),Comedy
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Action|Crime|Thriller
7,Twelve Monkeys (1995),Comedy|Romance
8,Babe (1995),Adventure|Children's
9,Dead Man Walking (1995),Action
10,Richard III (1995),Action|Adventure|Thriller
11,Seven (Se7en) (1995),Comedy|Drama|Romance
12,"Usual Suspects, The (1995)",Comedy|Horror
13,Mighty Aphrodite (1995),Animation|Children's
14,"Postino, Il (1994)",Drama
15,Mr. Holland's Opus (1995),Action|Adventure|Romance
16,French Twist (Gazon maudit) (1995),Drama|Thriller
17,From Dusk Till Dawn (1996),Drama|Romance
18,"White Balloon, The (1995)",Thriller
19,Antonia's Line (1995),Comedy
20,Angels and Insects (1995),Action
21,Muppet Treasure Island (1996),Action|Comedy|Drama
22,Braveheart (1995),Crime|Drama|Thriller
23,Taxi Driver (1976),Thriller
24,Rumble in the Bronx (1995),Drama|Sci-Fi
25,"Birdcage, The (1996)",Drama|Romance
26,"Brothers McMullen, The (1995)",Drama
27,Bad Boys (1995),Drama
28,Apollo 13 (1995),Romance
29,Batman Forever (1995),Adventure|Sci-Fi
30,Belle de jour (1967),Drama
31,Crimson Tide (1995),Drama
32,Crumb (1994),Drama|Sci-Fi
33,Desperado (1995),Adventure|Romance
34,"Doom Generation, The (1995)",Children's|Comedy|Drama
35,Free Willy 2: The Adventure Home (1995),Drama|Romance
36,Mad Love (1995),Drama
37,Nadja (1994),Documentary
38,"Net, The (1995)",Comedy
39,Strange Days (1995),Comedy|Romance
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Drama
41,Billy Madison (1995),Drama|War
42,Clerks (1994),Action|Crime|Drama
43,Disclosure (1994),Drama
44,Dolores Claiborne (1994),Action|Adventure
45,Eat Drink Man Woman (1994),Comedy|Drama
46,Exotica (1994),Drama|Romance
47,Ed Wood (1994),Crime|Thriller
48,Hoop Dreams (1994),Animation|Children's|Musical|Romance
49,I.Q. (1994),Drama|Romance
50,Star Wars (1977),Crime|Thriller
51,Legends of the Fall (1994),Action|Drama|Thriller
52,"Madness of King George, The (1994)",Comedy
53,Natural Born Killers (1994),Drama
54,Outbreak (1995),Children's|Comedy
55,"Professional, The (1994)",Drama
56,Pulp Fiction (1994),Adventure|Children's|Fantasy
57,Priest (1994),Drama
58,Quiz Show (1994),Drama|Romance
59,Three Colors: Red (1994),Drama|Mystery
60,Three Colors: Blue (1993),Adventure|Children's|Fantasy
61,Three Colors: White (1994),Drama|Thriller
62,Stargate (1994),Drama
63,"Santa Clause, The (1994)",Comedy
64,"Shawshank Redemption, The (1994)",Comedy|Romance
65,What's Eating Gilbert Grape (1993),Comedy
66,While You Were Sleeping (1995),Sci-Fi|Thriller
67,Ace Ventura: Pet Detective (1994),Drama
68,"Crow, The (1994)",Comedy|Romance
69,Forrest Gump (1994),Comedy
70,Four Weddings and a Funeral (1994),Action|Comedy|Crime|Horror|Thriller
71,"Lion King, The (1994)",Action
72,"Mask, The (1994)",Comedy|Drama
73,Maverick (1994),Drama|Musical
74,Faster Pussycat! Kill! Kill! (1965),Drama|Romance
75,Brother Minister: The Assassination of Malcolm X (1994),Comedy|Drama
76,Carlito's Way (1993),Sci-Fi|Thriller
77,"Firm, The (1993)",Documentary
78,Free Willy (1993),Drama
79,"Fugitive, The (1993)",Drama|Thriller
80,Hot Shots! Part Deux (1993),Drama
81,"Hudsucker Proxy, The (1994)",Crime|Drama|Romance
82,Jurassic Park (1993),Drama
83,Much Ado About Nothing (1993),Drama
84,Robert A. Heinlein's The Puppet Masters (1994),Comedy|Drama
85,"Ref, The (1994)",Drama|Romance
86,"Remains of the Day, The (1993)",Adventure|Drama
87,Searching for Bobby Fischer (1993),Children's|Comedy
88,Sleepless in Seattle (1993),Comedy
89,Blade Runner (1982),Action|Thriller
90,So I Married an Axe Murderer (1993),Drama
92,True Romance (1993),Drama|Thriller
93,Welcome to the Dollhouse (1995),Comedy|Romance
94,Home Alone (1990),Drama
95,Aladdin (1992),Action|Thriller
96,Terminator 2: Judgment Day (1991),Comedy
97,Dances with Wolves (1990),Drama
98,"Silence of the Lambs, The (1991)",Action|Thriller
99,Snow White and the Seven Dwarfs (1937),Documentary
100,Fargo (1996),Drama|Thriller
101,Heavy Metal (1981),Comedy
102,"Aristocats, The (1970)",Comedy
103,All Dogs Go to Heaven 2 (1996),Thriller
104,Theodore Rex (1995),Comedy
105,Sgt. Bilko (1996),Drama|Romance
106,Diabolique (1996),Comedy|Drama
107,Moll Flanders (1996),Adventure|Children's|Comedy|Musical
108,Kids in the Hall: Brain Candy (1996),Documentary
109,Mystery Science Theater 3000: The Movie (1996),Comedy
110,Operation Dumbo Drop (1995),Action|Drama|War
111,"Truth About Cats & Dogs, The (1996)",Drama|Thriller
112,Flipper (1996),Action|Adventure|Crime
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama|Mystery
114,Wallace & Gromit: The Best of Aardman Animation (1996),Drama
115,"Haunted World of Edward D. Wood Jr., The (1995)",Comedy
116,Cold Comfort Farm (1995),Documentary
117,"Rock, The (1996)",Crime
118,Twister (1996),Comedy|Romance
119,Maya Lin: A Strong Clear Vision (1994),Comedy
120,Striptease (1996),Drama
121,Independence Day (ID4) (1996),Drama
122,"Cable Guy, The (1996)",Comedy|Romance
123,"Frighteners, The (1996)",Drama|Mystery|Romance
124,Lone Star (1996),Drama
125,Phenomenon (1996),Comedy
126,"Spitfire Grill, The (1996)",Adventure|Children's|Fantasy
127,"Godfather, The (1972)",Drama
128,Supercop (1992),Documentary
129,Bound (1996),Comedy|Romance
130,Kansas City (1996),Drama
131,Breakfast at Tiffany's (1961),Drama|Romance
132,"Wizard of Oz, The (1939)",Thriller
133,Gone with the Wind (1939),Comedy|Drama
134,Citizen Kane (1941),Documentary
135,2001: A Space Odyssey (1968),Comedy
136,Mr. Smith Goes to Washington (1939),Documentary
137,Big Night (1996),Documentary
138,D3: The Mighty Ducks (1996),Drama
139,"Love Bug, The (1969)",Action|Drama
140,Homeward Bound: The Incredible Journey (1993),Drama|Romance
141,"20,000 Leagues Under the Sea (1954)",Comedy
142,Bedknobs and Broomsticks (1971),Drama
143,"Sound of Music, The (1965)",Drama
144,Die Hard (1988),Comedy
145,"Lawnmower Man, The (1992)",Action
146,Unhook the Stars (1996),Adventure|Children's
147,"Long Kiss Goodnight, The (1996)",Drama
148,"Ghost and the Darkness, The (1996)",Drama
149,Jude (1996),Crime|Drama|Thriller
150,Swingers (1996),Drama
151,Willy Wonka and the Chocolate Factory (1971),Drama|Romance|War
152,Sleeper (1973),Horror
153,"Fish Called Wanda, A (1988)",Action|Adventure|Comedy|Crime
154,Monty Python's Life of Brian (1979),Drama
155,Dirty Dancing (1987),Drama|War
156,Reservoir Dogs (1992),Comedy
157,Platoon (1986),Comedy|War
158,Weekend at Bernie's (1989),Adventure|Children's
159,Basic Instinct (1992),Drama
160,Glengarry Glen Ross (1992),Action|Adventure|Mystery|Sci-Fi
161,Top Gun (1986),Drama|Thriller|War
162,On Golden Pond (1981),Documentary
163,"Return of the Pink Panther, The (1974)",Action|Romance|Thriller
164,"Abyss, The (1989)",Crime|Film-Noir|Mystery|Thriller
165,Jean de Florette (1986),Action|Thriller
166,Manon of the Spring (Manon des sources) (1986),Comedy|Drama
167,Private Benjamin (1980),Drama
168,Monty Python and the Holy Grail (1974),Action|Adventure|Drama|Romance
169,"Wrong Trousers, The (1993)",Adventure|Children's|Drama
170,Cinema Paradiso (1988),Action|Crime|Thriller
171,Delicatessen (1991),Comedy
172,"Empire Strikes Back, The (1980)",Action|Sci-Fi|Thriller
173,"Princess Bride, The (1987)",Action|Adventure|Sci-Fi
174,Raiders of the Lost Ark (1981),Comedy
175,Brazil (1985),Drama
176,Aliens (1986),Comedy
177,"Good, The Bad and The Ugly, The (1966)",Horror
178,12 Angry Men (1957),Comedy
